7fateschakho,https://yenpress.com/titles/9798400900594-7fates-chakho-vol-3-comic,Ize Press,7FATES: CHAKHO,3,Paperback,9798400900594,2024-04-23,KR,manhwa
7fateschakho,https://yenpress.com/titles/9798400900600-7fates-chakho-vol-4-comic,Ize Press,7FATES: CHAKHO,4,Paperback,9798400900600,2024-07-23,KR,manhwa
7fateschakho,https://yenpress.com/titles/9798400900617-7fates-chakho-vol-5-comic,Ize Press,7FATES: CHAKHO,5,Paperback,9798400900617,2024-10-22,KR,manhwa
7fateschakho,https://yenpress.com/titles/9798400900624-7fates-chakho-vol-6-comic,Ize Press,7FATES: CHAKHO,6,Paperback,9798400900624,2025-01-21,KR,manhwa
7fateschakho,https://yenpress.com/titles/9798400900631-7fates-chakho-vol-7-comic,Ize Press,7FATES: CHAKHO,7,Paperback,9798400900631,2025-04-22,KR,manhwa
7fateschakhonovel,https://yenpress.com/titles/9781975379094-7fates-chakho-novel,Ize Press,7FATES: CHAKHO (novel),1,Hardback,9781975379094,2025-10-21,KR,manhwa
86eightysix,https://yenpress.com/titles/9781975319182-86-eighty-six-vol-1-manga,Yen Press,86--EIGHTY-SIX,1,Digital,9781975319182,2020-12-15,JP,manga
86eightysix,https://yenpress.com/titles/9781975319267-86-eighty-six-vol-2-manga,Yen Press,86--EIGHTY-SIX,2,Digital,9781975319267,2021-03-30,JP,manga
86eightysix,https://yenpress.com/titles/9781975349578-86-eighty-six-vol-3-manga,Yen Press,86--EIGHTY-SIX,3,Digital,9781975349578,2022-10-04,JP,manga
86eightysix,https://yenpress.com/titles/9781975319175-86-eighty-six-vol-1-manga,Yen Press,86--EIGHTY-SIX,1,Paperback,9781975319175,2020-12-15,JP,manga
86eightysix,https://yenpress.com/titles/9781975319250-86-eighty-six-vol-2-manga,Yen Press,86--EIGHTY-SIX,2,Paperback,9781975319250,2021-03-30,JP,manga
86eightysix,https://yenpress.com/titles/9781975349561-86-eighty-six-vol-3-manga,Yen Press,86--EIGHTY-SIX,3,Paperback,9781975349561,2022-10-04,JP,manga
86eightysixoperationhighschool,https://yenpress.com/titles/9798855401868-86-eighty-six-operation-high-school,Yen Press,86--EIGHTY-SIX: Operation High School,1,Digital,9798855401868,2024-11-05,JP,manga
86eightysixoperationhighschool,https://yenpress.com/titles/9781975377014-86-eighty-six-operation-high-school,Yen Press,86--EIGHTY-SIX: Operation High School,1,Paperback,9781975377014,2024-11-05,JP,manga
abridesstory,https://yenpress.com/titles/9781975356347-a-bride-s-story-vol-1,Yen Press,A Bride's Story,1,Digital,9781975356347,2018-09-25,JP,manga
abridesstory,https://yenpress.com/titles/9781975356361-a-brides-story-vol-2,Yen Press,A Bride's Story,2,Digital,9781975356361,2018-09-25,JP,manga
abridesstory,https://yenpress.com/titles/9781975356385-a-brides-story-vol-3,Yen Press,A Bride's Story,3,Digital,9781975356385,2018-09-25,JP,manga
abridesstory,https://yenpress.com/titles/9781975356408-a-brides-story-vol-4,Yen Press,A Bride's Story,4,Digital,9781975356408,2018-09-25,JP,manga
abridesstory,https://yenpress.com/titles/9781975356422-a-bride-s-story-vol-5,Yen Press,A Bride's Story,5,Digital,9781975356422,2018-09-25,JP,manga
abridesstory,https://yenpress.com/titles/9781975356446-a-brides-story-vol-6,Yen Press,A Bride's Story,6,Digital,9781975356446,2018-10-30,JP,manga
abridesstory,https://yenpress.com/titles/9781975356460-a-brides-story-vol-7,Yen Press,A Bride's Story,7,Digital,9781975356460,2018-10-30,JP,manga
abridesstory,https://yenpress.com/titles/9781975356484-a-brides-story-vol-8,Yen Press,A Bride's Story,8,Digital,9781975356484,2018-10-30,JP,manga
